identifier,title,year,description,url,notes,query
always_on_call,Always On Call,,"Story by Kensiger Jones, directed by John Kennedy. Produced by Premiere Hardcastle, St. Louis. 0551 PA8484 Always On Call 033.10;",https://archive.org/details/always_on_call,,audience OR parade OR spectators
0872_Angels_Flight_05_32_34_00,Angels Flight,,"Bunker Hill, LA - ""waiting to be leveled, to make way for a new world of concrete steel and glass"" Shows old homes on Bunker Hill, destruction and reconstruction",https://archive.org/details/0872_Angels_Flight_05_32_34_00,,future OR tomorrow OR prediction OR progress
PrivateL1947,Private Life of a Cat,1947,Alexander Hammid's intimate study of a female cat and the birth and maturation of her five kittens.,https://archive.org/details/PrivateL1947,,privacy OR private OR secret OR diary
Japanese1943,Japanese Relocation,1943,U.S. government-produced film defending the World War II internment of Japanese American citizens.,https://archive.org/details/Japanese1943,,privacy OR private OR secret OR diary
AtomBomb1946,Atom Bomb [Joe Bonica's Movie of the Month],1955,Early atomic weapons testing.,https://archive.org/details/AtomBomb1946,,privacy OR private OR secret OR diary
DayofTha1951,"Day of Thanksgiving, A",1951,"An American family unable to afford a Thanksgiving turkey reviews the things for which they feel thankful. This patriotic film is unusual in that it does not link freedom and happiness with the pursuit of wealth. Produced with nonprofessional actors in Lawrence, Kansas. Written by Margaret Carlile (Trudy) Travis.",https://archive.org/details/DayofTha1951,,privacy OR private OR secret OR diary
panorama_ephemera2004,Panorama Ephemera,2004,"PANORAMA EPHEMERA (2004, 89:35 min., color and black and white) is a collage of sequences drawn from a wide variety of ephemeral (industrial, advertising, educational and amateur) films, touring the conflicted landscapes of twentieth-century America. The films' often-skewed visions construct an American history filled with horror and hope, unreeling in familiar and unexpected ways. PANORAMA EPHEMERA focuses on familiar and mythical activities and images in America (1626-1978). Many creatures and",https://archive.org/details/panorama_ephemera2004,,privacy OR private OR secret OR diary
DateWith1950,"Date With Your Family, A",1950,"Advises children to do whatever is necessary -- even lie -- to achieve harmonious family relations. This portrait of manners among the affluent places a premium on pleasant, unemotional behavior, and contains some interesting do's and don'ts sequences. Key line: ""These boys treat their dad as though they were genuinely glad to see him, as though they really missed him..."" Director: Edward C. Simmel. Cinematography: Harry F. Burrell. Script: Arthur V. Jones. Editor: Miriam Bucher. With Ralph Hodg",https://archive.org/details/DateWith1950,,privacy OR private OR secret OR diary
Despotis1946,Despotism,1946,"Measures how a society ranks on a spectrum stretching from democracy to despotism. Explains how societies and nations can be measured by the degree that power is concentrated and respect for the individual is restricted. Where does your community, state and nation stand on these scales? The companion Encyclopedia Britannica Film ""Democracy"" can be found here.",https://archive.org/details/Despotis1946,,privacy OR private OR secret OR diary
1960_kennedy-nixon_1,1960 Kennedy-Nixon Debate (Part I),1960,A kinescope of the John F Kennedy and Richard M Nixon presidential debate.,https://archive.org/details/1960_kennedy-nixon_1,,privacy OR private OR secret OR diary
HowtoUse1927,How to Use the Dial Phone,1927,Training film for users of the new dial telephones.,https://archive.org/details/HowtoUse1927,,privacy OR private OR secret OR diary
Physical1953,Physical Aspects of Puberty,1953,Animated explanation of primary and secondary sex characteristics in adolescent boys and girls.,https://archive.org/details/Physical1953,,"telepathy OR hypnosis OR ""mind reading"" OR psychology OR brain"
SocialSe1953,Social-Sex Attitudes in Adolescence,1953,"Social-sex development of Bill and Mary and how they came to meet, fall in love and marry.",https://archive.org/details/SocialSe1953,,"telepathy OR hypnosis OR ""mind reading"" OR psychology OR brain"
HowtheEy1941,How the Eye Functions,1941,Beautifully animated explication of human eye and eyesight.,https://archive.org/details/HowtheEy1941,,"telepathy OR hypnosis OR ""mind reading"" OR psychology OR brain"
Century21964,Century 21 Calling,1964,"Romp through the futuristic landscape of the Seattle World's Fair, centered in the Bell System pavilion.",https://archive.org/details/Century21964,,"telepathy OR hypnosis OR ""mind reading"" OR psychology OR brain"
Corvairi1960,"Corvair in Action, The",1960,Promotional film for the controversial Chevrolet Corvair.,https://archive.org/details/Corvairi1960,,"telepathy OR hypnosis OR ""mind reading"" OR psychology OR brain"
stripper_1,Stripper #1,,,https://archive.org/details/stripper_1,,"telepathy OR hypnosis OR ""mind reading"" OR psychology OR brain"
RelaxedW1957,"Relaxed Wife, The",1957,"Remarkable, surreal industrial film promoting ""Atarax,"" a tranquilizer, and asserting how ""ataraxic medicines"" can help us all to achieve the relaxed state we long for. Created by Coni Johnston, Mel London, Joseph Cole, Bert Spielvogel, Tracy Ward (a pseudonym for Virginia Bell) and by Rune Hagman, Delores Phox, Jeanne Sharp, Dick Brophy, M. Opelle, Herb Hagens.",https://archive.org/details/RelaxedW1957,,"telepathy OR hypnosis OR ""mind reading"" OR psychology OR brain"
out_of_this_world,Out of This World,1964,"This 1964 vintage promotional film by Frigidaire, a division of General Motors, presents a visionary glimpse into the future through a blend of futuristic world's fair exhibits and mid-century modern home appliance innovations. Beginning with abstract artistic visuals and futuristic architecture, the film explores themes of space exploration, resource management in Antarctica and the ocean, and advanced infrastructure development. It then transitions to showcasing cutting-edge kitchen and househ",https://archive.org/details/out_of_this_world,,"telepathy OR hypnosis OR ""mind reading"" OR psychology OR brain"
Sleepfor1950,Sleep for Health,1950,"Told from the viewpoint of a child, this film emphasizes that children should train themselves in good sleeping habits. In typical ""Goofus and Gallant"" style, it shows the advantages a well-rested kid has over his poor-sleeping classmate. Dreams are presented as a normal part of sleeping, and there is a funny dream sequence.",https://archive.org/details/Sleepfor1950,,television OR broadcast OR radio OR telephone
bacteria_friend_and_foe,Bacteria: Friend and Foe,,"Produced by Encyclopedia Britannica Films, Inc., in collaboration with Stewart A. Koser, Ph.D, Department of Bacteriology and Parasitology, the University of Chicago, Warren Everote, Producer. 0595 PA8087 Bacteria: Friend and Foe",https://archive.org/details/bacteria_friend_and_foe,,television OR broadcast OR radio OR telephone
GoldenYe1960,"Golden Years, The",1960,"Bowling made respectable and appealing to middle-class Americans through modernization and ""Populuxe"" design.",https://archive.org/details/GoldenYe1960,,future OR tomorrow OR prediction OR progress
GoodTabl1951,Good Table Manners,1951,"A bad-mannered 14-year-old meets himself as a young man of 21, and learns the fundamentals of good table manners.",https://archive.org/details/GoodTabl1951,,"popularity OR conformity OR manners OR ""fitting in"""
CindyGoe1955,Cindy Goes to a Party,1955,"Cindy, a tomboy unsure of her social status, dreams of a party where her fairy godmother gives her etiquette lessons, and wakes up to receive her very own invitation. Filmed in Lawrence, Kansas.",https://archive.org/details/CindyGoe1955,,"popularity OR conformity OR manners OR ""fitting in"""
ShyGuy1947,Shy Guy,1947,"Phil (Dick York), new in his high school, follows his father's suggestion and observes the most popular students to determine what makes them popular. By offering to help others he becomes popular himself and sheds his shyness.",https://archive.org/details/ShyGuy1947,,"popularity OR conformity OR manners OR ""fitting in"""
HabitPat1954,Habit Patterns,1954,"""Goofus and Gallant""-style film on the misadventures of a teenage girl who is a victim of her own bad habits, with a harrowing and patronizing narration.",https://archive.org/details/HabitPat1954,,"popularity OR conformity OR manners OR ""fitting in"""
BrinkofD1972,Brink of Disaster (Part I),1972,"How 1960s activism ""threatens"" American moral, religious and ethical principles.",https://archive.org/details/BrinkofD1972,,"popularity OR conformity OR manners OR ""fitting in"""
Everyday1948,Everyday Courtesy,1948,"Courtesy in connection with invitations, telephone conversations, introductions and entertaining guests.",https://archive.org/details/Everyday1948,,"popularity OR conformity OR manners OR ""fitting in"""
WhatAbou1959,What About Prejudice?,1959,Pioneering film that encourages youth to look into themselves for the causes of prejudice.,https://archive.org/details/WhatAbou1959,,"popularity OR conformity OR manners OR ""fitting in"""
Maintain1947,Maintaining Classroom Discipline,1947,Good and bad methods of disciplining inappropriate classsroom behavior.,https://archive.org/details/Maintain1947,,"popularity OR conformity OR manners OR ""fitting in"""
FreedomH1956,Freedom Highway (Part I),1956,"A Greyhound bus transports us through the landscape of American mythology. Directed by Harold Schuster. Director of Photography: Jerry Fairbanks. Screenplay: Charles L. Tedford, Leo S. Rosencrans. Film Editor: Milton Kleinberg. Art Director: Theobold Holsopple. Production Supervisor: John McKennon. Musical Supervision: Edward Paul. Assistant Director: Robert Scrivner. With Marshall Thompson (Mysterious Stranger); Tommy Kirk (Jimmy Rollins); Morris Ankrum (Fred Schroder); Angie Dickinson (Mary); ",https://archive.org/details/FreedomH1956,,"popularity OR conformity OR manners OR ""fitting in"""
naturally_a_girl,Naturally - a Girl,1973,"Uses vignettes, animation and comments by girls and boys to explore the medical facts and some personal feelings about menstruation.",https://archive.org/details/naturally_a_girl,,invention OR ideas OR creativity OR inventor
OneGotFa1963,One Got Fat: Bicycle Safety,1963,"A group of children, all wearing ape masks, rides their bicycles to the park for a picnic. Along the way, all but one are eliminated for violating basic bike safety rules. This strange film was narrated by Edward Everett Horton. Script and Direction: Dale Jennings. Photography: Max Hutto. Art Direction: Ralph Hulett. With Dick Hutto, Janice Powell, Lucie Hagens, Ralph Hulett, Clyde L. Johnson, Dave Hembree, Colleen Hutto, Charles Hagens, Kevin Lindsay, Dan Whitehead, Don Moody, Diane Chambers, S",https://archive.org/details/OneGotFa1963,,memory OR remembering OR forgetting
Communis1952,Communism,1952,Educational film on the Cold War conflict.,https://archive.org/details/Communis1952,,memory OR remembering OR forgetting
MalibuMermai,Malibu Mermaid,,Mild stag film starring Adele Doleman,https://archive.org/details/MalibuMermai,,memory OR remembering OR forgetting
tmp_50168,San Francisco Earthquake footage,,,https://archive.org/details/tmp_50168,,memory OR remembering OR forgetting
Miracleo1955,Miracle on the Delaware,1955,"Mid-Fifties slices of life and landscape in Philadelphia and surrounding towns. With excellent color footage of downtown scenes, neighborhoods, the Mummers Parade, Levittown, factories in Camden, New Jersey, and many other subjects that can no longer be seen. Producer and Director: Cal Jones. Cinematographer: Ralph Lopatin. Writer and Narrator: Dick McCutchen.",https://archive.org/details/Miracleo1955,,memory OR remembering OR forgetting
YourName1960,Your Name Here,1960,"The ultimate generic industrial film, built around every script and visual cliche.",https://archive.org/details/YourName1960,,memory OR remembering OR forgetting
17DaysTh1945,17 Days: The Story of Newspaper History in the Making,1945,How a New York City newspaper delivery drivers' strike in 1945 failed to divert readers' interest in their favorite newspapers. Shows the newspapers of the day and huge lines of people outside newspaper offices waiting to purchase updated editions. In Kodachrome.,https://archive.org/details/17DaysTh1945,,memory OR remembering OR forgetting
right_to_health_1,"Right to Health, A (Part I)",,"A Right to Health, Neighborhood Health Centers in Profile. A Production of Professional Arts, Inc. in San Mateo, CA for the Office of Health Affairs and Office of Economic Opportunity. Directed and Produced by David W. Parker, PhD, Written by Parker and William J. Bicknell, M.D., shot and edited by Peter P. Drowne, narrated by Earle Marsh, M.D. 0726 PA8850 Right to Health, A",https://archive.org/details/right_to_health_1,,"auction OR ""stock market"" OR trading OR money OR bank"
